X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99	X100
THOC4	-0.213069561	0.425436409	-0.150215005	0.079989155	0.114584269	-0.220049269	-0.402106453	0.175307736	-0.274407566	0.437324929	-0.331300664	-0.257427446	0.299713659	-0.309057423	-0.484780871	-0.299200019	-0.474504281	0.000330935	-0.545904491	-0.244200304	-0.053838243	0.020784681	-0.415626838	-0.324657636	0.248512199	-0.170676093	0.031748693	0.252619133	-0.241218304	-0.235203028	-0.051487254	-0.042577682	0.049665288	0.402047284	0.395221251	-0.125869992	0.378306307	-0.049820001	0.217698109	0.518110932	-0.084354383	0.06517376	-0.326218081	0.285566131	0.257953938	0.149347526	0.288762474	0.35998044	0.359019416	0.026580717	-0.28936977	0.446946509	-0.101826855	0.231790316	0.112089895	-0.000874835	-0.395255774	-0.023373669	-0.271365591	-0.052100536	-0.282513287	0.146469597	0.203633425	0.351741472	0.263090557	-0.067512987	-0.351906583	0.081381921	0.144109175	0.010358779	-0.19811576	-0.406644284	-0.20502335	-0.0784804	-0.079685232	-0.244160689	0.134310237	-0.126252987	-0.132693081	0.337085408	-0.257518994	0.063561743	0.172756417	0.300437399	-0.230665869	-0.040102086	0.023777702	0.202247549	-0.419773745	0.24910023	0.216049757	0.55497684	0.040659744	0.148316455	0.327585519	0.326983349	0.267179363	0.140209285	0.176168828	-0.094940828
HS3ST3A1	-0.349587239	1.506904022	0.622606349	-0.251637352	0.304806081	-0.11089042	-1.084209855	1.358303104	-0.509121942	1.078206721	0.388964643	-0.059665739	0.558246233	0.127656856	-0.93487853	0.309139372	0.117898202	0.31134856	0.565118149	-0.133087667	-0.454637112	0.724874896	-0.061637967	-0.713567492	0.792202697	0.02159409	0.640098466	0.915177017	-0.050740364	0.630157756	0.013167345	0.379413509	-0.377166542	0.542236393	0.025818401	-0.423160557	0.623915386	0.235695486	0.434180662	0.74376628	0.370184307	0.162703267	0.355357765	0.627722927	-0.301493516	-0.270818203	-0.186264412	0.34113554	-0.572301378	-0.242841184	-0.008131733	0.533021132	0.334736635	0.801011693	0.1026224	-0.390014816	0.145919964	-0.550933886	-0.459263304	-0.347968591	-0.199750808	-0.648952501	0.843555936	0.402635949	0.613551755	-0.339907392	-0.452184402	0.787485488	-0.770585035	0.644880311	-0.074446308	-0.911705686	-0.524515265	-0.044863083	-1.001495521	-0.072682731	0.321913078	0.030146237	0.58024415	0.363054534	0.867394657	0.271947205	-0.800836853	0.217221106	-0.402220343	-0.384296702	-0.62574702	-0.655637493	-0.599812212	-0.292102597	0.211841551	0.719488849	-0.271143349	-0.265763073	-0.350893505	-0.475115333	-0.510950023	0.206321101	-0.682574649	0.057138964
KCNMB1	-0.66462715	-0.444657884	0.032614602	0.272125927	-0.773539847	0.354413594	1.451542323	-0.214353587	0.250361966	-1.381515793	0.721294361	0.274794658	-1.378959714	0.873761829	1.052322691	-0.469539908	0.474434301	-1.60343328	0.573738629	-0.352594954	0.991270953	-0.453985737	0.746374444	0.492578646	-1.034755713	-1.12120972	-1.020150422	-1.411261027	1.026903681	-0.623289942	-1.25091501	-0.37589881	-0.246674876	-0.813726424	-0.575913168	-0.139724564	-1.489186933	-0.579144939	-0.934453341	-0.680381035	-1.282982738	0.320139192	-1.002584144	-1.564113706	-0.496667848	-0.110809878	-0.739038224	-0.894311904	1.126142487	-0.6635839	-0.478229192	-1.109805131	-0.048513844	-0.555625756	0.114078334	0.232345527	-0.121247175	-0.508399318	-0.798015457	-1.351411642	-1.428225391	1.03322068	0.430437799	-0.345033948	-1.184458911	-0.318220563	0.088627629	-1.168166534	-0.143312872	0.732072394	-0.297694041	0.884267464	0.121843192	0.621777048	0.988470404	0.217873192	1.95083046	0.923520671	-0.58273773	-1.528226632	0.648265422	-1.323453871	0.367440461	-0.518856344	-0.919984453	0.048196298	1.603640459	0.74722485	0.449360569	-0.735891166	-1.021976696	-1.16363798	0.181557137	-0.33871241	1.170432838	-0.630371328	0.666017397	-0.05899024	0.663720285	-1.075808469
KIF4A	-0.60431365	1.564214534	-0.89548913	-0.153872366	0.146803502	-0.504048054	-0.761468628	0.226611009	-0.795756915	1.47635414	-0.700052301	-0.462334594	1.507558252	-0.580315583	-1.382012542	-0.692916242	-1.144639887	0.642471758	-1.538010043	-0.285320672	0.040117391	0.702162509	-1.153878415	-0.507697153	0.862516979	-0.623734476	0.213681335	0.715272607	-0.986919416	-0.558128779	-0.114888691	-0.031751503	-0.238463857	1.113323913	0.684421753	-0.560404403	0.776571181	-0.011220323	0.982532608	1.18139426	0.056303107	0.217395944	-0.45570754	0.658170566	-0.032153761	0.184973456	0.556256208	0.826340927	0.515301193	-0.352098124	-0.596142231	0.952071048	0.158222033	0.136715494	-0.315204937	-0.134451604	-1.11716732	-0.236444544	-0.754821431	-0.88538543	-0.617310841	0.366441356	1.07026479	0.503021201	0.82445421	-0.184391706	-0.57317629	-0.025728617	0.53384809	0.091233253	0.080938201	-0.22375303	-0.478415468	-0.566142611	-0.33024907	-0.590523231	0.136478721	-0.572639355	0.331914721	0.818184015	-0.636709835	0.153460183	0.082792533	0.107178607	-0.877847004	-0.241646357	0.424278517	0.48965427	-0.701734601	0.672694143	0.936920244	1.45467276	-0.118978162	0.305271769	0.521703976	0.694362989	0.59347008	0.788432914	0.163373516	-0.395942548
ARHGDIB	0.319757429	1.406376701	-0.578720788	0.118324403	-0.363344609	-0.294837223	0.4360082	0.385205403	0.113052739	-0.12744698	-0.482833915	-0.190875296	-0.038123853	-0.725430094	-0.543967986	-0.380254689	-0.697715431	-0.283964358	-0.410202617	0.149390319	0.478073179	-0.438255186	-0.132538168	0.428924863	-0.198691727	-0.075332551	-0.104246236	-0.254858167	-0.520491177	0.168252906	-1.02050502	0.442202189	-0.628384852	0.301754351	1.191361107	0.044679437	-0.066742642	-0.311764312	-0.153270338	0.284056236	-0.539144509	-0.878348192	-0.582376711	-0.297115478	0.04033732	0.693809456	0.132840046	0.185039983	1.559167508	-0.261586086	-0.289796005	-0.012806797	-0.46295765	-0.258722069	-0.118661367	0.020922101	-0.653687763	-0.224265057	-0.096655078	0.221231265	-0.310437556	1.448617143	0.041199848	0.816468248	-0.330652266	-0.115538485	-0.038084968	-0.41702433	1.543396063	-0.136583837	-0.035548898	0.206348042	-0.598856276	0.082096133	0.28861593	-0.314874145	-0.04543155	-0.128290876	-0.512669068	-0.27968859	0.064845481	0.311267039	1.684868194	0.362110639	-0.230926666	0.332575599	1.147327956	1.253330914	-0.384599085	0.365018722	0.091586119	-0.453325632	-0.115803597	-0.065606542	0.930833748	-0.162231334	0.825193021	-0.491018596	0.715893756	-0.660170144
HIST1H3C	-0.476573671	1.370943063	-0.826607199	0.089479003	0.430498137	-0.404306016	-0.452083186	0.310396913	-0.951072468	1.061141004	-0.280276023	-0.353179477	0.797329644	-0.599118942	-0.308871123	-0.513998655	-1.116415608	0.727891946	-0.312032205	-0.37736536	0.04795494	0.830257487	-1.004400418	-0.358780248	0.669028663	-0.215238105	0.00712902	0.603088555	-0.79014699	-0.812452383	0.353221092	-0.240727721	0.042870025	1.015763824	0.108218324	-0.515017936	0.792359415	0.060910756	0.642804299	0.979035317	0.283195115	0.219050619	-0.474854526	0.519744101	0.052064815	0.083815064	0.263081074	0.641452644	-0.010931354	-0.450908745	-0.67677226	0.613565171	-0.032442149	0.258158213	-0.180062222	-0.231472463	-0.911862733	-0.078107039	-1.011852228	-0.892223908	-0.581098981	0.321013945	1.208863216	0.291760918	0.829453944	0.060602933	-0.644407368	0.473644978	0.568999694	0.123118287	0.124699539	0.065274752	-0.569559598	-0.405881097	-0.175942865	-0.48549501	0.129024972	-0.553026623	0.126832144	0.677372495	-0.070901087	0.008189677	0.27213088	0.236369192	-0.816472449	-0.27055093	0.281195481	0.460284923	-0.583812684	0.324364492	0.336790229	1.486958001	0.103798754	0.364900207	0.32445545	0.698518963	0.49591922	0.747167572	0.122899206	-0.240406202
APBB2	0.275765854	-0.501726549	0.489851697	0.210705766	-0.213265897	0.091741578	0.122404907	-0.174029493	0.131068554	-0.601612288	0.033452787	0.180946474	-0.057196801	0.100216529	0.029186878	-0.157285943	0.09521365	-0.07402721	0.584051389	0.384379022	0.14251471	-0.386158112	0.392032412	0.438453912	0.089038563	-0.098840325	-0.159964834	-0.8810702	0.109404076	0.60611336	-0.430578423	0.26351648	0.139953317	-0.286488171	0.245788079	0.268338826	-0.119376171	-0.20050601	-0.28479084	-0.078992726	-0.298103154	-0.13661158	0.015834952	-0.085562819	0.236533259	0.249107522	0.182970896	-0.238021375	-0.188027381	0.052949193	0.469031142	-0.280868473	0.209828357	0.318789311	-0.088029416	-0.100490918	-0.050557635	0.086342073	0.537865796	0.3448633	0.185126217	0.055263179	-0.406841973	0.270596322	-0.168157431	0.240666417	-0.033549453	-0.495925938	-0.322581138	-0.328756283	0.10903732	0.230974715	-0.07253091	0.120416643	0.321336214	-0.004251265	-0.189453252	0.063170442	-0.456772362	-0.413955755	0.285540038	0.469620394	0.170285492	-0.029028235	0.446729155	0.007557551	-0.055922454	-0.328988615	-0.157846222	0.227924291	-0.045087988	-0.45933222	-0.073247761	-0.330965608	-0.02473003	-0.021073727	-0.079079678	-0.307896869	0.063256413	0.035019538
HLA-B	-1.040849771	-0.98324558	-0.478381996	0.075346085	-0.046473558	-0.412675524	0.286683972	0.308618429	-0.131423317	-0.482637649	-0.913568392	0.448242921	0.297674126	0.06562822	0.268800202	-0.023218528	-0.203857176	-0.209165078	0.134606538	0.10539668	-0.27909274	-0.294848265	0.117084604	-0.027428897	-0.448194957	-0.053929517	0.123121804	-0.313884234	-0.217767986	-0.361999996	0.422514961	0.536185219	0.085761568	-0.298216839	-0.107978843	0.072201279	-0.233824129	-0.529513915	0.207783545	-0.055605526	-0.547836632	0.047059854	-0.662368765	-0.379089814	-0.527211898	-0.903944637	-0.326866948	0.444921603	0.217217551	-0.123948744	0.009751076	-0.541544882	-0.011422357	0.208247745	-0.151606694	-0.31419066	-0.369713176	-0.051874174	-0.897025742	-0.960314883	0.03817563	0.624230737	0.013248118	0.544008164	0.210725227	0.012906932	0.175872111	0.291472856	0.143731339	-0.000757537	0.086029288	-0.113307988	-0.632758457	0.026587027	0.396373299	-0.588993483	0.965797099	-0.029333319	-0.015906724	0.143812924	-0.69175452	-0.228627189	-0.490302763	0.916682835	-0.394900826	-0.124833513	0.147144558	0.088710985	-0.898401239	0.126579533	0.682182169	-0.011669242	0.142909054	0.704309643	0.42194548	-0.120762141	0.265626859	-0.133608696	-0.281693074	0.123793314
MYC	0.02148754	-0.03009213	-0.436112367	-0.240947091	-0.321793374	-0.298329237	-0.088950811	-0.337588385	-0.432580373	-0.661874652	-0.312714377	-0.548939669	-0.828535629	0.032212237	-1.003947555	-0.251220096	-0.074852129	-0.105556898	-0.457295196	0.04772356	-0.050484556	-0.31812907	-0.111532528	0.383216865	0.621177068	0.112688363	0.003334051	-0.06074285	-0.214229449	-0.198700948	-0.127615306	0.270743198	0.138967599	0.040801205	0.750343225	0.480465698	0.115560714	-0.394019025	-0.01092924	0.06715649	0.290215891	0.332066505	0.167779902	0.0635627	-0.049759604	0.18395192	0.354687441	-0.15345958	0.256747145	-0.020613803	-0.595505789	0.194547477	0.264803687	-0.252061196	0.350811195	0.473862954	-0.154751159	0.606361133	0.057579333	0.105637317	-0.523550516	0.259169767	-0.030638375	0.539174704	0.119144465	0.206611769	0.085586352	-0.655244405	0.068231877	0.202287449	0.447533132	0.201718687	-0.733350794	-0.073212577	-0.055775378	-0.065407037	-0.135952908	0.088566879	-0.575616225	-0.252017359	-0.039715371	0.486910391	0.104686094	0.402607618	0.298239084	0.194551722	0.008376055	-0.113812052	0.073109934	0.043808818	-0.40898527	-0.216851417	0.178611364	-0.020902519	0.570546231	0.856278037	0.040541959	0.022796913	-0.253556884	0.125093564
PLS3	0.134149105	-0.543564791	0.006371893	-0.143774457	-0.282912348	-0.146939222	0.090178986	-0.023300142	0.076137389	-0.107088409	-0.192697488	-0.016216276	0.115837687	0.05631198	-0.069393926	-0.28213183	-0.162464346	-0.183777734	0.028133677	-0.034230365	0.22478482	-0.207876521	0.057397268	0.171197264	-0.023801438	0.177275242	0.000346739	-0.518468911	0.042294619	0.091557327	-0.51266931	0.300251399	-0.022870239	-0.142455157	0.282744842	0.100933308	-0.197521555	-0.157147492	-0.276930359	0.078748515	-0.458463714	-0.044073327	-0.083032992	-0.2296848	0.00645536	0.173325236	-0.109149023	-0.098111184	0.162301964	0.098948174	0.034420531	-0.109644891	-0.032053193	0.111775789	-0.061321535	0.147637538	-0.136006797	-0.015801985	0.320879126	0.045236347	-0.199112538	0.103544623	0.15750518	-0.009419007	-0.181242616	0.181745634	-0.118102832	-0.423565164	0.040185073	-0.17190702	0.041731055	0.005238033	-0.011668366	-0.04695676	0.167489425	-0.085547037	0.163481372	0.292266249	-0.482843153	-0.145553268	0.159743367	0.219011992	0.118089176	-0.05258171	0.264489501	-0.007710566	0.110529536	0.410383607	0.014489911	-0.009383236	-0.117555536	-0.17191685	-0.187392042	0.02652617	0.36427144	0.032511148	0.232571541	-0.060965003	0.07277726	-0.08416928
